id,label,fragment_id,in_english,validated
299,An association state has one and only one transition,6979,t,t
300,An association state has one or many source state,8071,t,t
301,"An outline is composed of nodes, potentially many.",6337,t,t
302,"A located element has location, which is a simple string",1027,t,t
303,A node is composed of a label,5760,t,t
304,An outline has an extension (String),4450,t,t
305,A node has a name and an icon. Both String.,1763,t,t
306,"A node is composed of maps, which are the mapping.",5697,t,t
307,A label has a label,4032,t,t
308,A label may have label suites,4534,t,t
309,A label suite has a label,804,t,t
310,A map has a map string,1152,t,t
311,A petri  net has a place,3029,t,t
312,"In a Petri net, there are places and nets. Each place must be associated to exactly one net",5261,t,t
313,"A petri net has places and TPArcs, each place can be part of zero or more arcs",5257,t,t
314,a petri net has transitions,1752,t,t
315,a petri net model has nets,3617,t,t
316,"In a petri net model, a transition must be always part of exactly one net",5159,t,t
317,A petri net model has arcs,3309,t,t
318,A transition has one to many outgoing TPArcs,4705,t,t
319,The class PTArc,714,t,t
320,A Net is composed of one to many Places,6245,t,t
321,PTArc has one dst Transition,4686,t,t
322,The class TPArc,3737,t,t
323,TPArc has one src Transition,5329,t,t
324,A PetriNet includes Places,4266,t,t
325,A Place is present in one and only one Petri Net,6222,t,t
326,A petri net has transitions,1755,t,t
327,A petri net has places that are in zero or more TP arcs,5678,t,t
328,"in a petri net, each transition must be linked to a net",5383,t,t
329,A petri net model has nets,1168,t,t
330,A petri net model contains arcs. Each arc has a weight,2304,t,t
331,A Transition has one or several outgoing Transition-to-Arc Arcs,7449,t,t
332,A Petri Net is composed of one or several Places,5431,t,t
333,A Place-to-Transition Arc belongs to PetriNet package,3044,t,t
334,A Place-to-Transition Arc has one and only one destination Transition,5120,t,t
335,A Transition-to-Place Arc is a class that belongs to PetriNet package,1786,t,t
336,A Transition-to-Place Arc is associated to one and only one Transition,4732,t,t
353,"Column is a class in SimpleRDBMS package. It has an attribute named ""type"" of type ""String""",3447,t,t
356,ForeignKey is a class in SimpleRDBMS package,1270,t,t
359,The scheduling system has an offering that could be cancelled.,1310,t,t
360,A Foreign Key concerns 0 or several Columns in an RDBMS,4629,t,t
544,An element in a graph along its location within that graph.,1697,t,t
545,A Graph object is composed of any number (or none) of GraphElements.,7431,t,t
548,A Graph object has a type and a dimension.,85,t,t
550,A Node element has a shape.,3519,t,t
553,There exists SubGraph objects.,3756,t,t
383,"In a software quality control, a control belongs to a controls sequence",6853,t,t
384,The list of bugs in the software bug tracking system which are linked to control type.,5359,t,t
387,The different types of controls.,1945,t,t
388,Architecture is a class that represents a specific architecture of a potential system.,4832,t,t
429,A company is composed by one and only one corporate HQ,7180,t,t
486,My domain contains QoS constraints,2821,t,t
554,There exists Attribute objects.,2061,t,t
555,A Package is composed of any number (or none) of PackageElement.,5209,t,t
558,There exists PackageElement objects.,2260,t,t
580,GeneralizableElement has one and only Generalization,5689,t,t
628,"The overall model seems to describe the structure of UML types (classes or components), and the fragment represents the fact that each type has a bunch of members (attributes/functions)",7171,t,t
481,The QoSStatement package has a SingleQoSStatement class. Each SingleQoSStatement class is composed of a QoSContraint.,7703,t,t
485,"Every QoS constraint should be qualified, according to its kind. A particular type (QualificationKind) describes the possible kinds.",7013,t,t
487,"My domain defines the possible types of qualifications. They have a value, which is a string.",4103,t,t
488,"QoSStatement is a superclass of all classes that describe various kind of objets, either simple or compound, that representing quality of services.",1382,t,t
489,Actor is a class that describes actors. Actors are able to fulfill some goals using resources thanks to a plan.,1977,t,t
493,SoftGoal is a class that describes those particular goals that are said to be soft.,825,t,t
495,"A goal is wanted by one actor, that is called its wanter.",7419,t,t
498,An actor concept model contains dependencies and actors. Each dependency is associated to exactly one actor,5635,t,t
500,An actor model contains resources,1507,t,t
503,"In an actor concept model, each dependency is associated to one plan at the most to explain why",4860,t,t
509,a business entity may have business contacts,7871,t,t
546,A GraphElement contains a reference to its parent Graph.,5821,t,t
547,A basic element with a name.,434,t,t
549,A GraphElement has a label and a z index.,4243,t,t
551,A DirectedArc links a source node and a target node and has a shape.,1865,t,t
552,A Constraint has a value.,2961,t,t
556,A PackageElement references its parent Package.,6919,t,t
557,There exists Package objects.,1682,t,t
575,"Core models contain classifiers. Each classifier may have power type ranges, which are generalizations",7044,t,t
629,Class representing if the element feature is final with a boolean value,451,t,t
631,Class with the name of the file that we want to execute to realize the make,101,t,t
636,Class IUmlClass is a subclass of IUmlType,3569,t,t
639,A class member can either be static or not.,1300,t,t
640,A Macro class has an attribute of type String named value.,106,t,t
645,The ICdeMemberExe of a CDE has two attributes: a String named executionPerformance and another String called executionDetails.,3990,t,t
648,The CompositeParDef of a Cristal may be composed by one or more PartCompositeMember.,8006,t,t
652,The ElementaryActDef of a Cristal,2489,t,t
653,The ActCompositeMember of a Cristal may have one or more ActivityDefinition.,6088,t,t
654,The ActivityDefinition of a Cristal has exactly one ActCompositeMember.,4992,t,t
655,The CompositeActDef of a Cristal.,2347,t,t
656,The ActCompositeMember of a Cristal.,3614,t,t
663,A class member has a unique java class as owner.,6968,t,t
665,Each Java class may have class members,7968,t,t
668,Each Java package might be composed of zero or more classes,7036,t,t
670,"Each java feature parameter has a type, which is a Java class",6318,t,t
672,a java model contains primitive types,2567,t,t
673,a java model contains feature parameters,3499,t,t
678,"A make model contains shell lines, which have one rule each",4941,t,t
679,A RuleDep instance is a dependency that relates Rule instances.,8019,t,t
683,A rule dependency.,3542,t,t
686,A MTRANS model contains modules. Each module may have metamodels associated,5291,t,t
689,A MTRANS model has rules. Each rule has a module associated to it,6669,t,t
699,A MTRANS model has inheritance objects. Each of which may have inherited rules,4826,t,t
701,"A variable is associated with one and only rule.
A rule is composed of multiple variables.",4905,t,t
704,An expression can be composed of one and only inherited rule,6646,t,t
705,"WorkDefinition presents the superclass of al kinds of tasks (lifecycle, phase, iteration, activity). A work can have sub-works and parent-work.",2538,t,t
706,"There are two classes.
The first one is named Expression and the second is named Instruction.
The class Expression has an attribute named instruction of type Instruction and of cardinality 1.
The class Instruction has no attribute.",7816,t,t
708,An empty class named ReuseContract.,4263,t,t
482,CoumpoundQoSStatement is a class which belongs to QoSStatement package,2958,t,t
483,A CoumpoundQoSStatement is composed of 2 or more QoSStatements,5407,t,t
484,Parameter is a class which belongs to QoSStatement package,4399,t,t
490,An actor may have some dependencies.,6805,t,t
491,An actor can have zero or several goals.,7226,t,t
492,Goal is a class.,845,t,t
494,An actor may use some resources.,6349,t,t
496,Dependency is a class that represent dependencies.,2416,t,t
497,"A goal may have some dependencies. What ""WG"" means is unclear, it could mean ""With Goal"".",7234,t,t
499,An actor concept model contains plans,1485,t,t
501,"In an actor concept model, there are dependencies and goals. Each dependency is associate to none or one goal",8093,t,t
502,"In an actor concept model, each dependency is associated to one resource at the most to explain why",7364,t,t
504,"In an actor concept model, each plan is fufilled by one goal",5754,t,t
505,"In an actor concept model, plans may have dependencies",8051,t,t
506,"In an actor concept model, each resource uses exactly one actor",6394,t,t
507,"In an actor concept model, each resource is associated to exacly one dependency",6566,t,t
508,A PIF model contains Business templates,3688,t,t
510,A UML model element may be of different kinds,1002,t,t
511,An attribute belongs to a single class,5691,t,t
559,A UML model has classifiers and attributes. Each classifier may have attributes that are their opposite type,6362,t,t
560,A UML model has classes which are composed of attributes,6530,t,t
561,A UML model has classifiers,2303,t,t
562,A UML model has classes. These classes may have other classes associated that act as their general opposite,5225,t,t
563,A UML model has classes,4038,t,t
569,A core model contains elements,3214,t,t
570,A core model contains model elements. Each model element contains a name and a boolean value that states whether or not the model element is a specification,2497,t,t
571,A core model contains generalizable elements. Ech elements is linked to zero or many generalizations,7561,t,t
572,A core model contains elements of type namespace. Each namespace is composed by model elements,7436,t,t
630,Class that represents the dependencies of the files with the rule that is applied to it,61,t,t
632,The package UMLWithreuseContrats has a class to represent a package.,595,t,t
633,The class IUmlType tries to represent the different types of uml elements.,1461,t,t
634,"In this model, class ICdeServer implements zero or more ICdeComponent",6901,t,t
635,Class ICdeComponentSpec represents a subtype of IUmlType,3317,t,t
637,IUmlComponent is a subtype of IUmlClass,4242,t,t
641,A class named ICdeServer,3923,t,t
643,A class named IUmlMember,3119,t,t
644,A class named ICdeMember in the CDE package.,2020,t,t
649,A Cristal package has one or more CompositeParDef.,175,t,t
657,The PartDefinition node has any number of PartCompositeMember nodes. Each such node has one PartDefinition node.,6315,t,t
659,The PartCompositeMember is a member of a unique PartDefinition of the Cristal model.,6041,t,t
661,The cristal model has Part Definitions.,2422,t,t
664,A Java class is composed of any number of class members. Each class member belongs to a unique Java class.,6314,t,t
666,"In a Java model, there are fields",3783,t,t
667,Each Java method might be composed by feature parameters,6659,t,t
669,"A java class has two properties: one to state whether it is abstract or not, and another one to state whether it is public or not",3681,t,t
671,A java model contains packages,4446,t,t
677,A makefile contains rules,928,t,t
680,A class named MetaClass.,674,t,t
681,A shell line is characterized by a string representing a command.,3244,t,t
682,A comment is characterized by a text string.,1829,t,t
684,"A makefile contains file dependencies, each one having a name",909,t,t
692,A MTRANS model has rules. Each rule is composed by at least one section,8039,t,t
693,A MTRANS model has inheritances,1154,t,t
700,A MTRANS model has variables. Each variable has a name,1065,t,t
702,"A rule can have more than one section.
A section can be in one and only rule.",7480,t,t
703,"An instruction is composed of one and only expression.
An expression must be associated with one and only instruction.",4845,t,t
707,"There is a class ReuseContract with a relation towards another class ProviderClause.
The relation's name is supplier and the cardinality is 1.",7287,t,t
709,"A class named Dependency.
The class has no attribute nor method.",3430,t,t
710,"A class Dependency.
There is a relation from the class Dependency towards the class Dependency.
The relation is named owningDependency.
An instance of Dependency can have 0 or 1 Dependency.",4586,t,t
711,"There are two classes: CompositeProvider and ReuseContract.
There is a composite relation from CompositeProvider to ReuseContract.
The role name of CompositeProvider in this relation is subcontract.
A ReuseContract has exactly one subcontract",4790,t,t
712,A class ProviderClause,3131,t,t
